X.1,id,X,Y,SOC,CRFVOL,OCSKGM,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,meanTempColdest,meanTempWarmest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex
1,C1201C061,-75.03,40.97,89.96803127,9.340822914,4.499454399,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
2,C1201C062,-75.03,40.97,58.38149043,3.967001424,4.066998895,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
3,C1201C063,-75.03,40.97,39.65057136,4.842468648,3.680105358,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
4,C1201C064,-75.03,40.97,67.16549272,6.965099371,4.207159614,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
5,C1201C065,-75.03,40.97,55.32612387,5.97310087,4.0132452,1008.92865,28.43409157,0.012789994,25.17499924,104.8699646,5010.637695,3409.300049,5.074999809,1.199999928,26.375,21.52499962,7,24.89607239,36.80410004,5256.75,150.7661591,148.4059753,238.2708282
6,C1201F291,-74.71,40.97,156.9707277,3.499121605,5.05605934,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
7,C1201F292,-74.71,40.97,141.5151578,4.616538012,4.952406834,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
8,C1201F293,-74.71,40.97,267.7486473,2.990947702,5.590048657,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
9,C1201F294,-74.71,40.97,309.79456,3.029492207,5.735909368,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
10,C1201F295,-74.71,40.97,308.282654,3.542808997,5.73101707,974.5940552,8.372251511,0.34004128,24.79999924,154.0538483,4670.837402,3136.149902,4.349999905,0.5,25.29999924,20.5,7,23.86863899,35.25727844,5101.375,146.2439117,143.5561981,209.34375
11,C1208W041,-74.44,40.83,96.93040132,0,4.573993209,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
12,C1208W042,-74.44,40.83,40.44807215,0,3.700018982,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
13,C1208W043,-74.44,40.83,30.44209469,0,3.415826344,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
14,C1208W044,-74.44,40.83,105.7555716,0,4.661130503,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
15,C1208W045,-74.44,40.83,28.86543796,0,3.362644961,990.5100708,25.76885033,0.111849315,24.70000076,117.1860428,5097.362305,3452,5.5,1.75,26.45000076,21.82500076,7,25.20313072,36.81663895,5082.588867,147.2084961,130.0511932,244.5312653
16,C1209F051,-74.38,40.84,807.5246842,0,6.693973623,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
17,C1209F052,-74.38,40.84,200.494933,0,5.300788975,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
18,C1209F053,-74.38,40.84,264.7211698,0,5.578677083,991.5071411,25.46983528,0.119443044,24.71250153,118.4330063,5164.674805,3502.4375,5.675000191,1.925000072,26.63750076,22.07500076,8,25.41377449,36.99931335,5072.84082,147.1688995,130.0455627,250.0625153
